visitor_ab,visitor_sac_hits,visitor_sac_flies,visitor_hbp,visitor_walks,visitor_int_walks,visitor_,home_ab,home_sac_hits,home_sac_flies,home_hbp,home_walks,home_int_walks,visitor_pa,home_pa
31,0,1,1,1,0,0,34,0,0,1,1,0,34,36
31,0,0,1,4,0,0,32,0,0,1,2,0,36,35
42,0,0,0,2,0,0,34,0,0,0,2,0,44,36
31,0,0,0,1,0,0,29,0,0,0,4,0,32,33
33,0,1,0,8,0,0,35,0,0,2,4,1,42,42
36,0,1,1,2,0,0,30,0,0,1,5,0,40,36
39,0,0,1,5,0,0,41,0,0,0,10,1,45,52
34,0,1,1,7,1,0,34,0,0,0,0,0,44,34
38,1,3,1,7,0,0,34,0,0,1,1,0,50,36
42,0,0,0,4,0,0,42,1,0,0,3,0,46,46
38,0,0,0,5,0,0,32,0,0,0,3,0,43,35
35,0,0,0,3,0,0,38,0,0,0,3,0,38,41
36,0,0,0,3,0,0,33,0,0,0,2,0,39,35
37,0,1,0,3,0,0,33,0,0,2,1,0,41,36
31,1,0,0,7,1,0,35,0,0,1,5,0,40,41
32,0,0,0,5,0,0,33,0,0,1,5,0,37,39
28,1,0,0,0,0,0,27,0,0,1,3,0,29,31
35,0,0,0,2,0,0,30,0,0,0,2,1,37,33
33,0,0,0,4,0,0,38,0,1,0,3,0,37,42
34,0,1,0,0,0,0,30,0,1,1,8,1,35,41
34,0,1,1,2,1,0,28,0,1,1,2,0,39,32
31,0,0,0,3,0,0,28,0,0,0,4,0,34,32
36,0,0,1,0,0,0,33,0,0,1,1,0,37,35
33,0,0,0,3,0,0,38,0,0,0,4,0,36,42
32,0,0,1,0,0,0,33,0,0,0,6,0,33,39
39,0,1,2,3,0,0,40,0,2,3,2,0,45,47
34,0,1,0,3,0,0,34,0,0,1,3,0,38,38
33,0,0,1,3,0,0,31,0,0,0,3,0,37,34
37,0,0,0,3,0,0,31,1,0,1,4,0,40,37
38,0,0,1,2,1,0,30,2,1,2,2,0,42,37
33,0,0,0,3,0,0,36,0,0,0,8,0,36,44
36,0,0,1,5,0,0,44,0,0,0,4,0,42,48
35,0,0,0,3,0,0,39,0,0,0,8,0,38,47
36,0,0,0,3,0,0,35,1,0,3,4,0,39,43
31,0,0,1,4,0,0,33,0,0,0,3,0,36,36
35,0,0,0,0,0,0,38,0,0,0,4,0,35,42
36,0,0,0,3,0,0,32,0,0,0,0,0,39,32
37,0,0,0,6,0,0,35,0,0,0,2,0,43,37
32,0,0,0,3,0,0,34,0,0,1,3,1,35,39
32,0,0,0,3,0,0,31,0,0,0,1,0,35,32
33,0,0,0,1,0,0,30,0,0,1,3,0,34,34
29,0,0,0,2,0,1,40,0,1,0,5,0,32,46
32,0,1,2,9,0,0,30,0,0,0,2,0,44,32
36,0,0,1,3,0,0,35,1,0,0,3,0,40,39
35,0,0,0,3,0,0,30,0,0,0,3,0,38,33
35,0,0,0,4,1,0,32,1,0,0,0,0,40,33
34,0,0,0,3,0,0,36,0,0,1,1,0,37,38
31,0,1,0,5,0,0,32,1,0,0,5,1,37,39
29,1,0,0,9,0,0,30,0,0,0,0,0,39,30
41,0,0,0,8,0,0,34,0,0,1,3,0,49,38
33,0,0,1,5,0,0,32,0,0,0,1,0,39,33
29,0,0,0,5,0,0,29,1,0,0,2,0,34,32
